epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,121.691,0.4899,1.26306,0.19116,0.40746,0.9125,0.94341,0.76667,0.77356,0.66581,0.66536,0.33333,0.33167,0.24448,0.3993,0.33015,0.13344,0.33333,0.81676,0.000806528,0.000806528,0.000806528
46,124.337,0.47631,1.04987,0.18582,0.40628,0.90068,0.95799,0.76667,0.77192,0.66585,0.66541,0.33333,0.33167,0.2512,0.44214,0.22891,0.13133,0.30685,0.82181,0.00079238,0.00079238,0.00079238
47,127.061,0.48231,1.0292,0.18765,0.39921,0.90552,0.96802,0.76667,0.77192,0.6659,0.6654,0.33333,0.33167,0.2756,0.40502,0.27599,0.12873,0.29655,0.81619,0.000778233,0.000778233,0.000778233
48,129.77,0.46883,1.14946,0.18656,0.39645,0.90108,0.96987,0.76667,0.77278,0.67439,0.66541,0.33333,0.33167,0.18335,0.40803,0.37574,0.12913,0.29376,0.81854,0.000764086,0.000764086,0.000764086
49,132.308,0.48661,1.00862,0.17758,0.39924,0.90123,0.96937,0.76667,0.77192,0.68102,0.66543,0.33333,0.33167,0.27496,0.39415,0.2449,0.12768,0.30065,0.81985,0.000749939,0.000749939,0.000749939
50,135.089,0.46312,1.09835,0.19239,0.4014,0.90372,0.96662,0.76667,0.77379,0.68734,0.66543,0.33333,0.33167,0.27912,0.37501,0.27412,0.12263,0.29695,0.81728,0.000735792,0.000735792,0.000735792
51,137.932,0.45606,0.96113,0.18208,0.39166,0.89064,0.84287,0.76667,0.76815,0.68674,0.66422,0.33333,0.33167,0.27183,0.33349,0.19604,0.11604,0.28653,0.80938,0.000721645,0.000721645,0.000721645
52,140.543,0.4531,1.08147,0.1781,0.38222,0.8907,0.80861,0.77644,0.76738,0.68438,0.66512,0.33333,0.33167,0.24769,0.36627,0.2553,0.11842,0.27669,0.81321,0.000707498,0.000707498,0.000707498
53,143.067,0.45823,1.07061,0.18244,0.38461,0.87107,0.85058,0.79422,0.77278,0.70611,0.66481,0.33333,0.33167,0.234,0.3633,0.25376,0.11953,0.27609,0.81196,0.000693351,0.000693351,0.000693351
54,145.533,0.44345,0.95978,0.18796,0.37812,0.88382,0.97562,0.76361,0.77833,0.68831,0.66539,0.33333,0.33167,0.26869,0.34846,0.21945,0.11741,0.28211,0.80909,0.000679204,0.000679204,0.000679204
55,148.055,0.43164,0.94312,0.18927,0.37149,0.88883,0.97022,0.76408,0.77119,0.68244,0.66536,0.33333,0.33167,0.21664,0.37008,0.28597,0.11753,0.27587,0.81182,0.000665057,0.000665057,0.000665057
